"id","state","city","district","h_name","address","pincode","contact","helpline","fax","category","website","email","blood_component","blood_group","service_time","latitude","longitude"
"27","Andhra Pradesh","Kadapa","Kadapa","Boga Parvathamma Memorial Donation Service Organisation","D.No. 7-137, Jayanagar Colony, Kadapa","516002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28","Andhra Pradesh","Vijayawada","Krishna","Chaitanya Blood Bank","D.No.40-9/1-26, Vasavya Complex, 1st floor, Vasavya Nagar, Benz circle","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29","Andhra Pradesh","Rajahmundry","East Godavari district","Dhanwantari Voluntary Blood Bank and Blood Components (A Division of Dhanwantari Charitable Trust)","D.No. 46-21-1, 2nd Floor & Part of 3rd Floor, Opp. Godavari Grameena Bank, Danavaipet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","Andhra Pradesh","Ongole","Prakasam","District Head Quarters Hospital Blood Bank","1 st Floor, APVVP District Head Quarters Hospital","NA","8592233310","NA","NA","NA","NA","NA","NA","NA","NA","[=15]15","[=80]80"
"31","Andhra Pradesh","Machilipatnam","Krishna","District Co-ordinator of Hospital Services Blood Bank","Ground Floor, District Hospital Premises","521001","08672 222302","NA","NA","NA","NA","NA","NA","NA","NA","[=16]16","[=81]81"
"32","Andhra Pradesh","Chittoor","Chittoor","District Head Quarter Hospital Blood Bank","1st Floor, District Head Quarter Hospital Premises","NA","08572 22087","NA","NA","NA","NA","NA","NA","NA","NA","[=13]13","[=79]79"
"33","Andhra Pradesh","Vizianagaram","Vizianagaram","District Head Quarter Hospital Blood Bank","Government District Hospital Premises, Ground Floor, Cantonment","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=18]18","[=83]83"
"34","Andhra Pradesh","Rajahmundry","East Godavari district","District Hospital Blood Bank","1st Floor, District Hospital Premises","NA","0866 2440044, 0883 2428555","NA","NA","NA","NA","NA","NA","NA","NA","[=17]17","[=82]82"
"35","Andhra Pradesh","Piduguralla","Guntur","Dr. Anji Reddy Multispeciality Hospitals Pvt","D. No. 7-320","522413","08649 254001, 08649 254002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36","Andhra Pradesh","Gannavaram Mandal","Krishna","Dr. Pinnamaneni Siddartha Inst. of Medical Sci. and Res. Foundation Blood Bank","Siddhartha Nagar Chinoutpalli (V), Gannavaram Mandal","NA","08676 257311, 08676 257317","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"37","Andhra Pradesh","Nellore","Nellore","DSR District Government Head Quarter Hospital Blood Bank","Government Head Quarter Hospital Premises, Ist Floor, Nellore","NA","0861 2328500, 0861 2326833","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"38","Andhra Pradesh","Kadapa","Kadapa","Fathima Institute of Medical Sciences Blood Bank","Ramrajupally, Pulivendala Road, Kadapa","516390","08562 240900, 08562 240600","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39","Andhra Pradesh","Rajam","Srikakulam","GMR Varalakhsmi Care Hospital Blood Bank","GMR nagar, Rajam","532127","08941 25318485","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"40","Andhra Pradesh","Eluru","West Godavari","Good Samaritan Blood Bank","H. No. 13-1/1, Good Samaritan Cancer and General Hospital, Vangayagudem","NA","08812 241187","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41","Andhra Pradesh","Nandyal","Kurnool","Government District Hospital Blood Bank","First Floor, APVVP District Hospital Premises","NA","08518 255422","NA","NA","NA","NA","NA","NA","NA","NA","[=15]15","[=78]78"
"42","Andhra Pradesh","Gudivada","Krishna","Government Area Hospital Blood Bank","Area Hospital Premises, Ist Floor","NA","08674 245040","NA","NA","NA","NA","NA","NA","NA","NA","[=16]16","[=81]81"
"43","Andhra Pradesh","Hanumanpet","Vijayawada","Government General Hospital Blood Bank (Medical University General Hospital Blood Bank)","Ground Floor, Government General Hospital Premises, Vijayawada","NA","0866 2452244, 0866 2452844","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"44","Andhra Pradesh","Kurnool","Kurnool","Government General Hospital Blood Bank","First Floor, Government General Hospital Premises","NA","08518 255422","NA","NA","NA","NA","NA","NA","NA","NA","[=16]16","[=78]78"
"45","Andhra Pradesh","Anantapur","Anantapur","Government General Hospital Blood Bank (Formerly District Head Quarter Hospital)","District Head quater hospital premises, Ground Floor, Anantapur","NA","08554 275024","NA","NA","NA","NA","NA","NA","NA","NA","[=15]15","[=78]78"
"46","Andhra Pradesh","Guntur","Guntur","Government General Hospital Blood Bank","First Floor, OP Block, Station Road","NA","0866 2220035","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"47","Andhra Pradesh","Kakinada","East Godavari","Government General Hospital Blood Bank","Government General Hospital Premises, Ground Floor, Kakinada, District","NA","0884 2302008","NA","NA","NA","NA","NA","NA","NA","NA","[=17]17","[=82]82"
"48","Andhra Pradesh","Eluru","West Godavari","Government Head Quarters Hospital Blood Bank","Government H.Q. Premises, Ground Floor, RR PET","NA","08812 249668","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"49","Andhra Pradesh","Tirupathi","Chittoor","Government Maternity Hospital Blood Bank","Government Maternity Hospital Premises, Ruia Hospital Road","NA","0877 2234072","NA","NA","NA","NA","NA","NA","NA","NA","[=14]14","[=79]79"
"50","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Government Victoria Hospital for Women and Children Blood Bank","1st Floor, Victoria Hospital Premises, 1 Town","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=18]18","[=83]83"
"51","Andhra Pradesh","Tuni","East Godavari","Government Area Hospital Blood Bank","East Godavari District","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=17]17","[=83]83"
"52","Andhra Pradesh","Chirala","Prakasam","Government Area Hospital Blood Bank","APVVP Area Hospital, Ground Floor","NA","08594 232373","NA","NA","NA","NA","NA","NA","NA","NA","[=16]16","[=80]80"
"53","Andhra Pradesh","Srikakulam","Srikakulam","Great Eastern Medical School and GEMS Hospital Blood Bank","Ragolu, Srikakulam Mandal","NA","08942 22654, 08942 210519","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"54","Andhra Pradesh","Rajahmundry","East Godavari","GSL Medical College and General Hospital Blood Bank","Laxmipuram, NH.5, Rajanagaram Mandal, Rajhamundry","NA","0883 2484999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"55","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Indian Naval Hospital Ship Kalyani Blood Bank","Kalyani Gandhigram Post","NA","0891 2814028","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56","Andhra Pradesh","Srikakulam","Srikakulam","Indian Red Cross Society B.S. Sastry Blood Bank","D.No. 8-5-2/A, Besides DM & HO Office, Bapuji Kalamandir","NA","08942 226555","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=18]18","[=84]84"
"57","Andhra Pradesh","Kadapa","Kadapa","Indian Red Cross Society Blood Bank","10/971, Bellam mandy, Near Matipeddapuli, Trunk Road","NA","08562 275724, 08562 272829","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"58","Andhra Pradesh","Chittoor","Chittoor","Indian Red Cross Society Blood Bank","20-119, 1st Floor, Red Cross Building, Prakasam High Road","NA","08572 220287","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"59","Andhra Pradesh","Ongole","Prakasam","Indian Red Cross Society Blood Bank","57-1-29 to 31, Railway Station Road","NA","NA","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=16]16","[=80]80"
"60","Andhra Pradesh","Kurnool","Kurnool","Indian Red Cross Society Blood Bank","1st Floor, Government Area Hospital, Adhoni, Kurnool","NA","08518 255347","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=16]16","[=78]78"
"61","Andhra Pradesh","Markapur","Prakasam","Indian Red Cross Society Blood Bank","Area Hospital Premises, Prakasam District","NA","NA","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=16]16","[=79]79"
"62","Andhra Pradesh","Narasaraopet","Guntur","Indian Red Cross Society Blood Bank","Area Hospital Premises, First Floor, Palnadu Road -1","NA","08647 224455","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"63","Andhra Pradesh","Guntur","Guntur","Indian Red Cross Society Blood Bank","Area Hospital, 1st Floor, ZP Compound, Guntur-4","NA","NA","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"64","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Indian Red Cross Society Blood Bank","D.No.14-35-4, Red Cross Buildings, 1 Red Cross Avenue, Maharanipeta","NA","0891 2703953","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=18]18","[=83]83"
"65","Andhra Pradesh","Anantapur","Anantapur","Indian red cross society Blood Bank","District Area Hospital","NA","NA","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"66","Andhra Pradesh","Anantapur","Anantapur","Indian Red Cross Society Blood Bank","District Branch, Government Medical College Hospital Building, Engineering College Road, Sarada Nagar","NA","08554 246344","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"67","Andhra Pradesh","Eluru","West Godavari","Indian Red Cross Society Blood Bank","Government General Hospital Premises","NA","NA","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=17]17","[=81]81"
"68","Andhra Pradesh","Kakinada","East Godavari","Indian Red Cross Society Blood Bank","H.No. 8-14-39, Red Cross Street, Gandhi Nagar","NA","0884 2385800","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"69","Andhra Pradesh","Vizianagaram","Vizianagaram","Indian Red Cross Society Blood Bank","Parvathipuarm Town Area Hospital Premises, 1st Floor, Belagam, Parvathipuram","NA","NA","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=18]18","[=83]83"
"70","Andhra Pradesh","Nellore","Nellore","Indian Red Cross Society Blood Bank","Red Cross Road, adjacent to Government Maternity Hospital, Near Vegetable Market","NA","0861 232070","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=14]14","[=80]80"
"71","Andhra Pradesh","Kurnool","Kurnool","Indian Red Cross Society Blood Bank","Sy. No. 894 & 896/2, Ground and First Floor, DM & HO Campus","NA","08518 255347","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"72","Andhra Pradesh","Vizianagaram","Vizianagaram","Indian Red Cross Society Blood Bank","T.S.No. 7/1B, Near Ganesh Temple, Contonment, Vizianagaram","NA","08922 223818","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"73","Andhra Pradesh","Tanuku","West Godavari","Indian Red Cross Society, Dr Mullapudi Harischandra Prasad Red Cross Blood Bank","Indian Red Cross Society (IRCS) Building, D.No. 27-14-9, Doddipatlavari Street","NA","08819 221184","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","[=17]17","[=82]82"
"74","Andhra Pradesh","Rajahmundry","East Godavari","Indian Red Cross Society Blood Bank","Opp III Town Police Station, Court Complex, E.G.DT, Rajahmundry Branch","NA","09866355655","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"75","Andhra Pradesh","Anantapur","Anantapur","Indian Red Cross Society Blood Bank","APVVP Government Area Hospital, Ground Floor, Kadiri","NA","08494 224144","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"76","Andhra Pradesh","Narsapuram","West Godavari","Indian Red Cross Society Blood Bank","Community Health Center","NA","NA","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"77","Andhra Pradesh","Jangareddygudem","West Godavari","Indian Red Cross Society Blood Bank","Indian Red Cross Society (IRCS) Blood Bank, District Branch","NA","08821 225305","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"78","Andhra Pradesh","Repalle","Guntur","Indian Red Cross Society Blood Bank","Government Hospital Campus","NA","08648 223939","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"79","Andhra Pradesh","Rajamandry","East Godavari","Jagruti Charitable Trust Blood Bank","D.No. 77-1-2, 1st Floor, Jagruthi Building, Gandhipuram","NA","0883 2443612","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"80","Andhra Pradesh","Kavali","Nellore","K.K Indian Red Cross Society Blood bank","S. N0. 1083/3, RDO office Compound, Trunk Road","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"81","Andhra Pradesh","Vijayawada","Krishna","Kamineni Health care Pvt. . Blood Bank","1-51, 100 ft New Auto nagar Road, Poranki","NA","0866 246 3333","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"82","Andhra Pradesh","Guntur","Guntur","Katuri Medical College and Hospital Blood Bank","Katuri Nagar, Chinakondrapadu, Prathipadu(Mand)","NA","0863 22885550, 0863 2288556","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"83","Andhra Pradesh","Visakhapatnam","Visakhapatnam","King George Hospital Blood Bank","King George Hospital Premises, Ground Floor","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","[=18]18","[=83]83"
"84","Andhra Pradesh","Amalapuram","East Godavari","Konaseema Institute of Medical Sciences and Research Foundation Hospital Blood Bank","Sy. No. 813 to 817, Kamanagaruvu, Vidyanagar, Near Red Bridges. No. 813 to 817, Kamanagaruvu, Vidyanagar, Near Red Bridge","NA","08856237424, 08856 237986","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"85","Andhra Pradesh","Ongole","Prakasam","Life Line Voluntary Blood Bank","Door No. 37-1-169/54, Second Floor, Whole Portion, Sundharaiah Bhavan Road","NA","09908520073","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"86","Andhra Pradesh","Vijayawada","Vijayawada","Lions Blood Bank (Lions Vijayawada Vision Multiservice Trust)","Door No. 29-19-85, First Floor, & Second Floor, Old Janata Hospital Building, Dornakol Road, Suryapet","NA","09392120187","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"87","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Lions Club of Visakhapatnam Blood Bank Trust","D.No. 10-54-7, Lions Community Hall, Ram Nagar","530002","6692587","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"88","Andhra Pradesh","Kothapet","Guntur","Lions Vision Blood Bank, Lions Club International","Door No. 12-17-31, 1st Floor, Somuvari Street, Near Bose Statue, Old Club Road","NA","0863 23361980, 0863 2336199","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"89","Andhra Pradesh","Machilipatnam","Krishna","Dr. Pattabhi Red Cross Society Blood Bank","R.S. No. 261/8, Parasupet, S.P. Banglow Centre, Kennedy Road","NA","08672 230605","NA","NA","NA","http://www.indianredcross.org","NA","NA","NA","NA","NA","NA"
"90","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Gitam Institute of Medical Sciences Blood Bank","Door No. 5-168, Ward No. 6, GITAM University, Rushikonda","530045","0891 2790222","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"91","Andhra Pradesh","Nellimarla","Vizianagaram","Maharaja Institute of Medical Sciences Blood Bank","31-15, MIMS General Hospital Premises","NA","08922 244390","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"92","Andhra Pradesh","Tadepalli","Guntur","Manipal Hospital Blood Bank","Level 1, Soumya Nagar","NA","0866 2498400, 0866 2498200","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"93","Andhra Pradesh","Kothapet","Guntur","N. T. R. Memorial Trust Blood Bank","D.No. 13-2-67, 1st Floor, Gunturuvari Thota","NA","0863 233444, 0863 2339444","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"94","Andhra Pradesh","Vijayawada","Krishna","Nagarjuna Hospitals Limited Blood Bank","Second Floor, Kanuru, Vijayawada","NA","0866 2554701, 0866 2554705","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"95","Andhra Pradesh","Nellore","Nellore","Narayana Medical College and General Hospital Blood Bank","1st Floor, A1 Wing, Chintareddypalem, Nellore","NA","0861 2317963, 0861 2317964, 0861 2317968","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"96","Andhra Pradesh","Kothapet","Guntur","Needs Blood Bank (A Unit of Needs Society)","D.No. 12-28-56, 1st Floor (Part), Main Road","NA","0863 36638222","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"97","Andhra Pradesh","Vijayawada","Krishna","Nimra Institute of Medical Sciences (NIMS), Teaching Hospital and Research Centre","4-90, Nimra Nagar, Jupudi, Ibrahimpatnam","NA","0866 6500000","1800 4250 0786","NA","NA","http://www.nims.in/hospital/index.html","NA","NA","NA","NA","NA","NA"
"98","Andhra Pradesh","Mangalagiri","Krishna","NRI Academy of Sciences, NRI Medical College and General Hospital Blood Bank","E Block, First Floor, Medical College and GH Premises, Chinakakani","NA","08645 236777, 08645 237401, 08645 237402 , 08645 237405","NA","08645 237404","NA","http://www.nrias.net/hospital.htm","NA","NA","NA","NA","NA","NA"
"99","Andhra Pradesh","Narasaraopet","Guntur","NRT Blood Bank, GBR Super Speciality Hospital","10-1-10/1, Opposite reddy college, Palnadu Road","522601","09542628888","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"100","Andhra Pradesh","Visakhapatnam","Visakhapatnam","NTR Memorial Trust Blood Bank","H.No 10-50-58/1, Raghavendra Towers, Plot No. 15B-3-1, Block No. 56, Ramnagar, Waltair road","530002","0891 2555858, 0891 2565858","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"101","Andhra Pradesh","Kurnool","Kurnool","Ongole Blood Bank","5-380, Sridhar Clinic Lane, Kurnool Road","NA","08592 227223,08592 233281","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"102","Andhra Pradesh","Kothapet","Guntur","Padmavathi Day and Night Blood Bank","12-22-39/10, Cellar Portion","NA","0863 2222222","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"103","Andhra Pradesh","Palakol","West Godavari","Palakol Voluntary Blood Bank, (A division of Palakol Charitable Trust)","H. No. 11-1-13, Near Urban Bank, Palakol","NA","08814 222678, 08814 222678","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"104","Andhra Pradesh","Kuppam","Chittoor","Peoples Education Society Institute of Medical Sciences and Research Blood Bank","PES Institute of Medical Sciences Premises Chittoor","NA","08570 256666, 08570 256556","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"105","Andhra Pradesh","Srisailam","Kurnool","Project Hospital Blood Bank","NSRS Project Hospital Premises, Srisailam Project (East), Sundipenta Village (PO)","NA","08524 286050","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"106","Andhra Pradesh","Bhagyanagar","Kurnool","R.R. Hospital Blood Bank","D.No.30-304-10, Bhagyanagar, Kurnool","518004","08518 225414, 08518 223131","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"107","Andhra Pradesh","Srikakulam","Srikakulam","Rajiv Gandhi Institute of Medical Sciences General Hospital Blood Bank","Ground Floor, Old Family Planning Building, RIMS Hospital Premises","532001","08942 279161","NA","NA","NA","NA","NA","NA","NA","NA","[=18]18","[=84]84"
"108","Andhra Pradesh","Ongole","NA","Rajiv Gandhi Institute of Medical Science blood bank","NA","NA","08592 233270","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"109","Andhra Pradesh","PutlamPalli","Kadapa","Rajiv Gandhi Institute of Medical Sciences Blood Bank","RIMS General Hospital, OP Block (K wing), Ground Floor","NA","08562 20039, 08562 20040","NA","NA","NA","NA","NA","NA","NA","NA","[=14]14","[=79]79"
"110","Andhra Pradesh","Kakinada","East Godavari","Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust)","D.No. 15-8-10, 2nd Floor, Sambamurthinagar Road, Brahmarshi Road, Satyaprasanna Nagar, Kakinada","NA","0884 2367366","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"111","Andhra Pradesh","Visakhapatnam","Visakhapatnam","Rotary Blood Bank, (Visakha Portcity Charitable Trust)","D.No. 13-26-2/54, 3rd Floor, Apuroopa Archede, Jagadamaba Junction, Maharanipeta","NA","0897 7191222","NA","NA","NA","http://rotarybloodbankvizag.org/","NA","NA","NA","NA","[=18]18","[=83]83"
"112","Andhra Pradesh","Vijayawada","Krishna","Rotary Red Cross Blood Bank","D.No. 26-5-5, GS Raju Street, Gandhi Nagar","520003","0866 2553833","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"113","Andhra Pradesh","Tenali","Guntur","Rudhira Voluntary Blood Bank","H.No. 7-5-9, Ist Floor, Prakasam Road, Gangamapeta","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"114","Andhra Pradesh","Anantapur","Villupuram","Rural Development Trust Hospital Blood Bank","RDT Hospital Campus, Ground Floor, Survey No. 153, Kadiri Road, Anathapuram","NA","08559 2440290, 08559 2442590, 08554 271306","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"115","Andhra Pradesh","Tuni","East Godavari","Sakthi Voluntary Blood Bank","D.No. 3-5-9, Opp. Raithu Bazar, Lalam Satyanatayana Hospitla Street","NA","08854 200099","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
